timestamp_utc,camera_id,latitude,longitude,track_id,plate_text,confidence,num_votes,format_valid

2026-08-29T14:52:41.256910+00:00,CAM_01,12.9716,77.5946,2,GW522723,0.915,3,False
2026-08-29T14:52:45.096997+00:00,CAM_01,12.9716,77.5946,1,GGGH315,0.967,1,False
2026-08-29T14:52:48.378025+00:00,CAM_01,12.9716,77.5946,11,GW522723,0.956,3,False
2026-08-29T14:52:51.527794+00:00,CAM_01,12.9716,77.5946,12,GR0683915,0.927,3,False
2026-08-29T14:52:56.987023+00:00,CAM_01,12.9716,77.5946,4,GW522723,0.941,2,False
2026-08-29T14:52:56.987245+00:00,CAM_01,12.9716,77.5946,5,GR683915,0.988,1,False
2026-08-29T14:52:59.470890+00:00,CAM_01,12.9716,77.5946,14,GW522723,0.904,3,False
2026-08-29T14:53:01.168754+00:00,CAM_01,12.9716,77.5946,8,GW522723,0.96,1,False
2026-08-29T14:53:04.850886+00:00,CAM_01,12.9716,77.5946,19,GR683915,0.917,3,False
2026-08-29T14:53:14.634914+00:00,CAM_01,12.9716,77.5946,32,GE179810,0.975,3,False
2026-08-29T14:53:16.766466+00:00,CAM_01,12.9716,77.5946,16,GR683915,1.0,1,False
2026-08-29T14:53:19.245305+00:00,CAM_01,12.9716,77.5946,27,OGE179810,0.935,1,False
2026-08-29T14:53:19.457075+00:00,CAM_01,12.9716,77.5946,30,DT9GR683915,0.966,1,False
2026-08-29T14:53:20.244977+00:00,CAM_01,12.9716,77.5946,37,M124GE,0.975,1,False
2026-08-29T14:53:23.689306+00:00,CAM_01,12.9716,77.5946,39,52272,1.0,3,False
2026-08-29T14:53:29.604803+00:00,CAM_01,12.9716,77.5946,40,2723,1.0,1,False
2026-08-29T14:53:30.246993+00:00,CAM_01,12.9716,77.5946,42,W522723,0.994,1,False
2026-08-29T14:53:32.957988+00:00,CAM_01,12.9716,77.5946,53,M364619,0.908,3,False
2026-08-29T14:53:37.138662+00:00,CAM_01,12.9716,77.5946,57,GE668722,0.99,3,False
2026-08-29T14:53:38.562856+00:00,CAM_01,12.9716,77.5946,46,Y364639,0.798,2,False
2026-08-29T14:53:40.060470+00:00,CAM_01,12.9716,77.5946,59,V364619,0.965,3,False
2026-08-29T14:53:47.210503+00:00,CAM_01,12.9716,77.5946,55,GV364619,0.951,1,False
2026-08-29T14:53:47.210631+00:00,CAM_01,12.9716,77.5946,56,PARKINGSTOMERS,0.998,1,False
2026-08-29T14:53:48.217315+00:00,CAM_01,12.9716,77.5946,69,11514GG,0.979,3,False
2026-08-29T14:53:55.332223+00:00,CAM_01,12.9716,77.5946,63,GW364619,0.952,1,False
2026-08-29T14:53:56.012217+00:00,CAM_01,12.9716,77.5946,83,GN747120,0.989,3,False
2026-08-29T14:53:56.690403+00:00,CAM_01,12.9716,77.5946,65,GW364619,0.905,1,False
2026-08-29T14:53:56.690669+00:00,CAM_01,12.9716,77.5946,66,11514GG,0.916,1,False
2026-08-29T14:53:56.690891+00:00,CAM_01,12.9716,77.5946,67,GN747120,0.935,1,False
